topo_num,flow_num,target,label,prediction,rel_err
94,0,mean,56.322285,62.948444,0.11764717
94,1,mean,55.835857,62.54775,0.12020755
94,2,mean,172.72987,109.56283,0.36569846
94,3,mean,59.795998,61.114395,0.022048235
94,4,mean,218.10408,142.67401,0.3458444
94,5,mean,172.43588,109.92821,0.36249804
94,6,mean,99.622826,109.54512,0.099598646
94,7,mean,44.125374,68.66129,0.55605006
94,8,mean,57.23372,65.59883,0.14615703
94,9,mean,44.24906,69.07998,0.5611626
94,10,mean,96.75199,104.04947,0.07542455
94,11,mean,232.66954,143.42023,0.3835883
94,12,mean,64.73642,56.772194,0.12302542
94,13,mean,168.41614,110.258125,0.34532326
94,14,mean,76.95625,65.32809,0.151101
94,15,mean,257.5152,173.19907,0.32742196
94,16,mean,237.58173,175.27037,0.26227337
94,17,mean,243.36884,175.1115,0.2804687
94,18,mean,57.465824,65.71612,0.14356875
94,19,mean,79.51738,104.44226,0.313452
94,20,mean,83.00564,67.86439,0.18241233
94,21,mean,238.95964,174.44398,0.26998556
94,22,mean,118.004005,131.20676,0.11188388
94,23,mean,239.02211,173.99123,0.2720706
94,24,mean,168.01173,110.189766,0.34415436
94,25,mean,210.3989,144.25978,0.31435108
94,26,mean,180.19719,110.90464,0.38453734
94,27,mean,171.55077,110.0033,0.35877115
94,28,mean,88.0806,64.87204,0.2634923
94,29,mean,83.820114,97.54152,0.16370058
94,30,mean,57.159016,65.56346,0.1470362
94,31,mean,51.64631,65.89869,0.27596128
94,32,mean,43.75621,68.786766,0.5720458
94,33,mean,149.31856,69.43214,0.53500664
94,34,mean,237.89944,173.23112,0.2718305
94,35,mean,43.553074,68.50789,0.5729748
94,36,mean,180.63005,110.4664,0.3884384
94,37,mean,57.341976,65.5989,0.14399445
94,38,mean,63.96543,63.525063,0.0068844557
94,39,mean,179.4937,110.79413,0.38274086
94,40,mean,204.07567,143.82967,0.29521406
94,41,mean,80.07659,64.48232,0.1947419
94,0,min,21.836998,18.166426,0.16808963
94,1,min,21.574999,18.137047,0.1593489
94,2,min,33.238003,29.856531,0.101735115
94,3,min,13.624999,14.033003,0.029945254
94,4,min,55.024986,47.47486,0.1372127
94,5,min,31.375,29.904036,0.046883345
94,6,min,29.386997,29.27034,0.0039696693
94,7,min,20.462,18.762714,0.0830459
