flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,9,0,Nw_39.MX_9.app[0],12,0,Nw_39.MX_12.app[0]
f1,8,0,Nw_39.MX_8.app[0],12,1,Nw_39.MX_12.app[1]
f2,4,0,Nw_39.MX_4.app[0],7,2,Nw_39.MX_7.app[2]
f3,7,0,Nw_39.MX_7.app[0],11,0,Nw_39.MX_11.app[0]
f4,4,1,Nw_39.MX_4.app[1],12,2,Nw_39.MX_12.app[2]
f5,9,1,Nw_39.MX_9.app[1],12,3,Nw_39.MX_12.app[3]
f6,3,0,Nw_39.MX_3.app[0],4,4,Nw_39.MX_4.app[4]
f7,10,0,Nw_39.MX_10.app[0],12,4,Nw_39.MX_12.app[4]
f8,6,0,Nw_39.MX_6.app[0],12,5,Nw_39.MX_12.app[5]
f9,8,1,Nw_39.MX_8.app[1],12,6,Nw_39.MX_12.app[6]
f10,8,2,Nw_39.MX_8.app[2],12,7,Nw_39.MX_12.app[7]
f11,10,1,Nw_39.MX_10.app[1],11,1,Nw_39.MX_11.app[1]
f12,5,0,Nw_39.MX_5.app[0],9,5,Nw_39.MX_9.app[5]
f13,10,2,Nw_39.MX_10.app[2],12,8,Nw_39.MX_12.app[8]
f14,9,2,Nw_39.MX_9.app[2],12,9,Nw_39.MX_12.app[9]
f15,8,3,Nw_39.MX_8.app[3],11,2,Nw_39.MX_11.app[2]
f16,5,1,Nw_39.MX_5.app[1],9,6,Nw_39.MX_9.app[6]
f17,5,2,Nw_39.MX_5.app[2],6,4,Nw_39.MX_6.app[4]
f18,4,2,Nw_39.MX_4.app[2],8,5,Nw_39.MX_8.app[5]
f19,3,1,Nw_39.MX_3.app[1],12,10,Nw_39.MX_12.app[10]
f20,1,0,Nw_39.MX_1.app[0],5,3,Nw_39.MX_5.app[3]
f21,8,4,Nw_39.MX_8.app[4],12,11,Nw_39.MX_12.app[11]
f22,2,0,Nw_39.MX_2.app[0],4,5,Nw_39.MX_4.app[5]
f23,3,2,Nw_39.MX_3.app[2],11,3,Nw_39.MX_11.app[3]
f24,4,3,Nw_39.MX_4.app[3],10,7,Nw_39.MX_10.app[7]
f25,1,1,Nw_39.MX_1.app[1],2,1,Nw_39.MX_2.app[1]
f26,10,3,Nw_39.MX_10.app[3],12,12,Nw_39.MX_12.app[12]
f27,10,4,Nw_39.MX_10.app[4],12,13,Nw_39.MX_12.app[13]
f28,9,3,Nw_39.MX_9.app[3],12,14,Nw_39.MX_12.app[14]
f29,6,1,Nw_39.MX_6.app[1],12,15,Nw_39.MX_12.app[15]
f30,1,2,Nw_39.MX_1.app[2],12,16,Nw_39.MX_12.app[16]
f31,3,3,Nw_39.MX_3.app[3],7,3,Nw_39.MX_7.app[3]
f32,10,5,Nw_39.MX_10.app[5],12,17,Nw_39.MX_12.app[17]
f33,10,6,Nw_39.MX_10.app[6],12,18,Nw_39.MX_12.app[18]
f34,7,1,Nw_39.MX_7.app[1],11,4,Nw_39.MX_11.app[4]
f35,9,4,Nw_39.MX_9.app[4],11,5,Nw_39.MX_11.app[5]
f36,6,2,Nw_39.MX_6.app[2],12,19,Nw_39.MX_12.app[19]
f37,6,3,Nw_39.MX_6.app[3],12,20,Nw_39.MX_12.app[20]
